lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,year,status,complaint
5028.0,1753.0,0.0,1753.0,0.0,0.0,2.0,1.75,143.67,51.0,0.35,0.5,0.0,1.0,85,0,6
7007.0,14000.0,14000.0,0.0,0.0,0.0,1.0,2.0,100.0,100.0,2.0,1.25,0.0,2.0,53,0,9
2500.0,1560.0,0.0,1560.0,0.0,0.0,1.0,2.0,100.0,36.0,0.62,0.75,0.0,2.0,95,0,6
1933.0,1914.0,0.0,1330.0,0.0,0.0,1.0,2.0,100.0,41.0,0.99,1.25,0.0,2.0,75,0,8
8700.0,36540.0,0.0,36540.0,0.0,0.0,1.0,6.0,132.0,80.0,4.2,4.2,0.0,4.2,93,0,6
2850.0,3300.0,0.0,2200.0,0.0,0.0,2.0,2.0,95.0,48.0,1.16,1.25,0.0,2.0,110,1,6
5000.0,2890.0,0.0,2076.0,0.0,0.0,1.0,2.0,100.0,45.0,0.58,0.75,0.0,2.0,74,0,6
10585.0,57500.0,0.0,57500.0,0.0,0.0,1.0,5.0,114.25,114.0,5.43,3.44,0.0,4.8,96,0,6
6947.0,5397.0,5397.0,0.0,0.0,5397.0,1.0,1.0,86.17,86.0,0.78,4.0,0.0,4.0,100,1,2
4500.0,4812.0,0.0,3306.0,0.0,0.0,2.0,2.5,90.0,40.0,1.07,0.75,0.0,2.0,80,0,2
2375.0,1463.0,0.0,1463.0,0.0,0.0,1.0,2.5,95.0,42.75,0.62,1.25,0.0,2.0,90,0,6
2500.0,3014.0,0.0,3014.0,0.0,0.0,1.0,2.0,100.0,78.0,1.21,1.25,0.0,2.0,95,0,11
3140.0,2200.0,2200.0,0.0,2200.0,0.0,1.0,2.0,66.43,44.0,0.7,0.5,0.0,1.0,22,0,6
5225.0,4750.0,4750.0,0.0,0.0,4750.0,1.0,2.0,138.58,50.0,0.91,0.75,0.0,2.0,89,0,11
2500.0,5001.0,2500.0,2501.0,0.0,2500.0,1.0,2.0,100.0,100.0,2.0,0.75,0.0,2.0,63,1,0
5049.0,17340.0,0.0,17340.0,0.0,0.0,1.0,5.0,99.0,86.0,3.43,6.02,0.0,6.5,103,0,6
2500.0,2480.0,0.0,2480.0,0.0,0.0,1.0,3.0,100.0,48.0,0.99,2.43,0.0,4.8,70,0,11
27454.0,43820.0,43820.0,0.0,0.0,0.0,1.0,6.0,106.67,89.5,1.6,3.0,2.0,3.0,89,0,8
4617.0,1728.0,0.0,840.0,0.0,0.0,1.0,1.0,92.33,48.0,0.37,0.5,0.0,1.0,65,0,8
4750.0,3093.0,0.0,2250.0,0.0,0.0,2.0,2.0,95.0,42.0,0.65,0.75,0.0,2.0,115,0,11
3935.0,2601.0,0.0,1248.0,0.0,0.0,1.0,1.0,95.0,42.0,0.66,0.75,0.0,2.0,55,1,11
2060.0,1800.0,0.0,1800.0,0.0,0.0,1.0,2.0,103.0,45.0,0.87,1.25,0.0,2.0,59,0,0
12000.0,16974.0,16974.0,0.0,0.0,0.0,1.0,3.0,100.0,82.0,1.41,3.44,0.0,4.8,30,0,6
3379.0,3303.0,0.0,3303.0,0.0,0.0,1.0,2.5,120.67,46.0,0.98,0.5,0.0,1.0,100,1,11
2697.0,3095.0,0.0,2360.0,0.0,0.0,1.0,3.0,85.17,49.92,1.15,0.5,0.0,1.0,55,0,8
2375.0,3300.0,1188.0,2112.0,0.0,1188.0,1.0,3.0,95.0,54.0,1.39,1.25,0.0,2.0,114,1,0
2500.0,3600.0,1188.0,2412.0,0.0,1188.0,1.0,3.0,100.0,48.0,1.44,0.5,0.0,1.0,95,0,8
2550.0,2008.0,0.0,2008.0,0.0,0.0,2.0,2.0,105.0,54.0,0.79,0.5,0.0,1.0,57,0,0
3742.0,2440.0,0.0,2008.0,0.0,0.0,1.0,2.75,100.0,46.0,0.65,0.75,0.0,2.0,90,0,6
6993.0,24645.0,0.0,24645.0,0.0,0.0,1.0,5.0,80.0,68.0,3.52,3.44,0.0,4.8,94,0,6
