zipcode_left,latitude_left,longitude_left,address_left,lot,zipcode_right,lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,yearbuilt,yearalter1,builtfar,residfar,commfar,facilfar,latitude_right,longitude_right,address_right
10461.0,40.85084521950213,-73.85180368452308,WILLIAMSBRIDGE ROAD,51,10463.0,2500.0,2800.0,0.0,2800.0,0.0,0.0,1.0,3.0,100.0,50.0,1960.0,0.0,1.12,2.43,0.0,4.8,40.8868492417649,-73.9058529540797, GREYSTONE AVENUE
10452.0,40.83753545410419,-73.91681506298184,CLARKE PLACE EAST,314,10464.0,2375.0,1714.0,0.0,1714.0,0.0,0.0,2.0,2.5,95.0,38.0,1925.0,0.0,0.72,0.5,0.0,1.0,40.8427660275995,-73.7876407286719, EARLEY STREET
10473.0,40.81422922618546,-73.85938868758494,LELAND AVENUE,64,10466.0,2856.0,1064.0,0.0,1064.0,0.0,0.0,1.0,2.5,114.25,32.0,1915.0,0.0,0.37,0.75,0.0,2.0,40.886503249338006,-73.85974214085441, EAST  STREET
10468.0,40.868123083184884,-73.90688459550866,SEDGWICK AVENUE,65,10472.0,1455.0,1332.0,0.0,1088.0,0.0,0.0,1.0,2.0,100.0,34.0,1940.0,0.0,0.92,2.43,0.0,4.8,40.8245501332369,-73.87948159796791, WHEELER AVENUE
10468.0,40.8612142340502,-73.90633752856328,DR M L KING JR BOULEVARD,37,10459.0,2330.0,0.0,,,,,1.0,1.0,116.5,10.0,1980.0,0.0,0.0,3.44,0.0,4.8,40.8311727934537,-73.8960522516095, CHISHOLM STREET
10458.0,40.86907697252079,-73.88702625131901,BAINBRIDGE AVENUE,38,10466.0,4000.0,2116.0,0.0,2116.0,0.0,0.0,2.0,2.5,100.0,46.0,1925.0,0.0,0.53,0.75,0.0,2.0,40.9023858549784,-73.84407043512309, EAST  STREET
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,48,10458.0,2781.0,1746.0,0.0,1746.0,0.0,0.0,2.0,3.0,111.25,26.0,1931.0,0.0,0.63,2.43,0.0,4.8,40.8573262989921,-73.8864425086562, ARTHUR AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,31,10452.0,10620.0,36000.0,0.0,36000.0,0.0,0.0,2.0,7.0,100.0,60.0,2014.0,0.0,3.39,3.44,0.0,4.8,40.8331451813061,-73.9268412604187, ANDERSON AVENUE
10455.0,40.814807798858794,-73.90113194581166,BECK STREET,49,10472.0,2500.0,2648.0,0.0,2648.0,0.0,0.0,2.0,2.0,100.0,67.0,1935.0,0.0,1.06,2.43,0.0,4.8,40.830081090220006,-73.8798184762381, ELDER AVENUE
10466.0,40.88958107464953,-73.86284966147109,CARPENTER AVENUE,51,10457.0,1347.0,2958.0,0.0,2958.0,0.0,0.0,1.0,3.0,48.39,29.8,2006.0,0.0,2.2,3.44,0.0,4.8,40.8480547246744,-73.8922053631122, EAST  STREET
10468.0,40.867734818071455,-73.89577816627856,MORRIS AVENUE,25,10461.0,2475.0,3460.0,0.0,3460.0,0.0,0.0,1.0,2.75,99.0,60.0,1930.0,0.0,1.4,0.75,0.0,2.0,40.83972396110861,-73.82646879195501, LA SALLE AVENUE
