lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,years,status,complaint_type
2500.0,3492.0,0.0,3492.0,0.0,0.0,1.0,3.0,100.0,56.0,1.4,3.0,0.0,3.0,100,1,0
2320.0,1420.0,0.0,1120.0,0.0,0.0,2.0,2.0,95.0,35.33,0.61,0.5,0.0,1.0,50,0,1
2842.0,2296.0,0.0,2296.0,0.0,0.0,1.0,2.0,100.0,58.0,0.81,2.43,0.0,4.8,100,1,0
2917.0,1953.0,0.0,1953.0,0.0,0.0,1.0,2.0,116.67,45.0,0.67,1.1,0.0,2.0,100,1,0
3750.0,1530.0,0.0,1530.0,0.0,0.0,2.0,2.0,75.0,36.0,0.41,0.75,0.0,2.0,90,0,1
2635.0,3260.0,0.0,3260.0,0.0,0.0,1.0,3.0,103.0,54.0,1.24,1.25,0.0,2.0,8,0,1
2266.0,1677.0,0.0,948.0,0.0,0.0,1.0,1.0,103.0,42.33,0.74,1.25,0.0,2.0,70,1,0
10000.0,2656.0,0.0,2656.0,0.0,0.0,1.0,2.0,100.0,75.0,0.27,0.5,0.0,1.0,85,0,0
3077.0,3757.0,0.0,3757.0,0.0,0.0,2.0,2.0,125.0,78.0,1.22,1.1,0.0,2.0,100,0,1
2435.0,1152.0,0.0,1152.0,0.0,0.0,2.0,2.0,97.42,32.0,0.47,0.75,0.0,2.0,95,0,1
2836.0,1104.0,0.0,1104.0,0.0,0.0,1.0,2.0,100.0,30.0,0.39,2.43,0.0,4.8,20,1,0
2500.0,3654.0,0.0,3654.0,0.0,0.0,2.0,3.0,100.0,58.0,1.46,1.25,0.0,2.0,94,1,0
1615.0,1632.0,0.0,1632.0,0.0,0.0,1.0,3.0,95.0,32.0,1.01,0.75,0.0,2.0,70,1,0
2500.0,2055.0,0.0,1440.0,0.0,0.0,1.0,2.0,100.0,36.0,0.82,1.25,0.0,2.0,65,0,1
