lotarea,bldgarea,resarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,year,status,complaint
3278.0,1536.0,1536.0,1.0,1.5,99.08,33.0,0.47,0.75,90,1,3
4917.0,1300.0,1300.0,2.0,1.5,98.17,40.0,0.26,0.75,90,1,0
2288.0,838.0,838.0,1.0,1.0,91.5,51.0,0.37,0.75,100,1,0
2452.0,2572.0,2572.0,1.0,3.0,95.01,50.0,1.05,0.75,16,0,0
3170.0,3417.0,2378.0,1.0,2.0,95.01,47.75,1.08,0.75,20,1,1
2202.0,3300.0,2475.0,2.0,3.0,88.08,55.0,1.5,3.44,89,1,0
2150.0,938.0,938.0,1.0,1.0,100.0,42.0,0.44,0.5,75,0,0
2500.0,1651.0,1651.0,1.0,1.75,100.0,46.0,0.66,0.5,100,1,0
2000.0,1738.0,1264.0,1.0,2.0,100.0,32.0,0.87,0.75,75,0,0
2500.0,1748.0,1748.0,2.0,2.0,100.0,42.0,0.7,0.75,90,0,0
3800.0,3216.0,3216.0,1.0,2.0,95.0,67.0,0.85,3.44,100,1,0
2225.0,1600.0,1600.0,1.0,2.0,89.0,40.0,0.72,0.75,95,1,0
5300.0,1800.0,1800.0,1.0,2.0,103.67,33.0,0.34,0.5,95,1,0
2285.0,3432.0,3432.0,1.0,2.0,91.42,78.5,1.5,2.43,89,1,1
2500.0,2240.0,2240.0,2.0,2.0,100.0,54.0,0.9,0.75,100,1,0
2090.0,948.0,948.0,1.0,1.0,95.0,48.0,0.45,0.75,60,1,2
3155.0,1152.0,1152.0,1.0,2.0,58.42,24.0,0.37,0.75,70,0,0
3750.0,4200.0,2800.0,1.0,2.0,150.0,70.0,1.12,0.5,90,1,0
2500.0,1220.0,1220.0,1.0,2.0,100.0,36.0,0.49,0.75,95,1,0
2856.0,1698.0,1698.0,1.0,3.0,114.25,30.0,0.59,1.1,95,1,0
4470.0,4540.0,0.0,1.0,1.0,89.63,89.63,1.02,3.44,100,1,0
1900.0,2280.0,2280.0,1.0,3.0,100.0,40.0,1.2,3.44,29,1,0
3433.0,1664.0,1664.0,2.0,2.0,114.42,40.0,0.48,0.75,110,0,0
2220.0,3477.0,3477.0,1.0,3.0,100.0,51.7,1.57,3.44,15,1,4
1920.0,2585.0,1880.0,1.0,2.0,96.0,47.0,1.35,1.25,50,1,3
2266.0,2950.0,2950.0,1.0,3.0,105.0,50.0,1.3,1.25,50,1,0
2500.0,1620.0,1080.0,1.0,2.0,100.0,30.0,0.65,0.75,70,1,0
792.0,1000.0,1000.0,1.0,2.0,44.67,32.0,1.26,0.75,100,0,0
7575.0,5825.0,0.0,1.0,1.0,75.0,50.0,0.77,0.0,95,1,0
4004.0,2020.0,2020.0,1.0,2.0,141.25,55.0,0.5,1.25,60,1,0
5713.0,3738.0,2492.0,2.0,2.0,114.25,36.0,0.65,1.25,100,0,0
2393.0,2230.0,2230.0,1.0,2.0,98.0,50.0,0.93,2.43,100,1,0
3300.0,1584.0,1584.0,1.0,2.5,100.0,36.0,0.48,0.75,80,1,0
2125.0,1436.0,1436.0,2.0,2.0,85.0,31.5,0.68,0.75,95,1,0
2500.0,2000.0,1500.0,1.0,2.0,50.0,21.5,0.8,0.75,60,0,0
3736.0,1872.0,1872.0,2.0,2.0,115.25,45.0,0.5,1.1,90,1,0
2735.0,1184.0,1184.0,2.0,2.0,109.42,37.0,0.43,0.75,95,1,0
3127.0,1224.0,1224.0,1.0,2.0,125.08,34.0,0.39,0.75,85,1,0
2856.0,3040.0,3040.0,1.0,2.0,114.25,76.0,1.06,1.25,92,1,0
1914.0,3000.0,2050.0,1.0,2.0,100.0,54.0,1.57,2.43,119,1,0
2500.0,2550.0,2550.0,1.0,3.0,100.0,47.0,1.02,1.25,17,1,0
2811.0,2800.0,0.0,1.0,1.0,100.0,80.0,1.0,3.44,89,1,0
3000.0,2584.0,2584.0,1.0,2.5,100.0,56.0,0.86,0.75,90,1,0
3125.0,3360.0,1680.0,1.0,3.0,125.0,37.0,1.08,4.0,121,1,0
1710.0,2376.0,1728.0,1.0,2.0,95.0,35.0,1.39,0.75,60,1,1
3678.0,2270.0,2270.0,1.0,3.0,94.99,41.5,0.62,0.75,21,0,0
2500.0,4050.0,2700.0,1.0,2.0,100.0,60.5,1.62,3.0,110,1,0
2996.0,8188.0,8188.0,1.0,4.0,119.1,66.0,2.73,2.43,14,1,0
2402.0,3465.0,3465.0,1.0,3.0,114.84,55.0,1.44,3.0,13,1,0
6534.0,8825.0,0.0,1.0,2.0,123.17,117.0,1.35,6.02,89,1,0
3300.0,3419.0,2385.0,1.0,2.5,100.0,47.0,1.04,0.75,60,1,3
3000.0,2169.0,1692.0,2.0,2.0,100.0,41.0,0.72,6.02,100,1,3
5600.0,1556.0,1556.0,2.0,2.5,112.0,30.0,0.28,1.25,100,1,2
2500.0,1500.0,1500.0,1.0,2.0,100.0,30.0,0.6,3.44,110,1,0
2500.0,1096.0,1096.0,1.0,2.0,100.0,25.0,0.44,0.5,90,1,0
5000.0,2536.0,2536.0,1.0,2.0,100.0,34.5,0.51,0.5,70,1,3
2600.0,1944.0,1296.0,1.0,2.0,100.0,36.0,0.75,0.75,65,1,0
6650.0,18060.0,18060.0,1.0,3.0,95.0,86.0,2.72,0.75,89,1,0
2713.0,885.0,885.0,2.0,2.0,108.5,27.0,0.33,0.75,100,1,0
2383.0,1598.0,1598.0,2.0,2.0,110.0,47.0,0.67,0.75,80,1,0
4493.0,9926.0,0.0,1.0,1.5,99.93,99.93,2.21,2.43,89,1,0
1760.0,2690.0,2690.0,1.0,2.0,61.58,55.0,1.53,3.44,100,1,3
3525.0,1952.0,1952.0,1.0,2.0,141.0,50.0,0.55,0.0,121,1,1
1805.0,2474.0,1748.0,1.0,2.0,95.0,46.0,1.37,1.25,70,1,0
2500.0,684.0,684.0,1.0,1.0,100.0,38.0,0.27,0.75,85,1,0
1625.0,1193.0,1193.0,2.0,2.0,65.0,26.0,0.73,3.44,110,1,0
2800.0,2325.0,2325.0,1.0,3.0,100.0,38.5,0.83,1.25,33,1,0
1916.0,2351.0,1710.0,1.0,2.0,95.0,45.0,1.23,0.5,60,1,0
2200.0,1890.0,1890.0,2.0,3.0,100.0,35.17,0.86,0.75,60,1,2
2800.0,1476.0,1476.0,1.0,2.0,100.0,41.5,0.53,0.75,90,1,0
6875.0,1851.0,1851.0,1.0,2.0,125.08,32.0,0.27,0.5,70,1,0
4428.0,3654.0,3654.0,1.0,3.0,137.42,56.0,0.83,0.75,31,1,1
2500.0,3312.0,3312.0,2.0,3.0,100.0,55.0,1.32,3.44,90,1,0
3925.0,3584.0,3584.0,4.0,2.0,100.0,64.0,0.91,2.43,89,1,0
1751.0,1276.0,928.0,1.0,2.0,109.42,29.33,0.73,0.75,85,1,0
3927.0,1152.0,1152.0,2.0,2.0,157.08,28.83,0.29,2.43,100,1,0
3915.0,1576.0,1576.0,2.0,2.0,156.58,34.0,0.4,2.43,100,1,0
1875.0,2925.0,2925.0,1.0,3.0,100.0,52.0,1.56,3.44,20,1,0
2500.0,2982.0,2100.0,1.0,2.0,100.0,50.0,1.19,1.25,70,1,0
2500.0,1726.0,1726.0,2.0,2.0,100.0,29.0,0.69,0.75,100,1,0
5000.0,1884.0,1884.0,2.0,2.0,100.0,28.0,0.38,0.75,110,1,0
3500.0,3432.0,3432.0,1.0,3.0,100.0,52.0,0.98,0.75,17,1,0
1533.0,2422.0,2422.0,1.0,3.0,80.0,46.0,1.58,0.75,65,0,0
2800.0,2361.0,1776.0,1.0,2.0,100.0,39.0,0.84,0.75,70,1,3
4684.0,22690.0,22690.0,1.0,6.0,100.42,90.0,4.84,6.02,84,1,0
4233.0,2550.0,2550.0,2.0,2.0,100.0,51.0,0.6,0.75,21,1,0
2442.0,3628.0,2928.0,1.0,2.0,100.0,70.0,1.49,2.43,100,0,0
1540.0,1275.0,1020.0,1.0,2.0,88.0,30.67,0.83,0.75,80,1,0
4750.0,3276.0,2808.0,1.0,3.0,95.0,36.0,0.69,0.75,70,1,0
3750.0,1638.0,936.0,1.0,1.0,100.0,32.0,0.44,0.75,61,0,0
3750.0,997.0,997.0,2.0,1.75,100.0,24.0,0.27,0.0,95,1,4
2600.0,1890.0,1260.0,1.0,2.0,100.0,35.0,0.73,0.75,70,1,0
